datetime,open,high,low,close,volume,turnover
20210104093500,18.01692865,18.1626181,17.89066446,17.97807813,80700.0,1500906.0
20210104094000,18.01692865,18.02664128,17.90037709,18.02664128,61800.0,1142680.0
20210104094500,18.02664128,18.08491706,17.9683655,18.08491706,73400.0,1362251.0
20210104095000,18.07520443,18.07520443,17.9683655,17.98779076,71400.0,1323400.0
20210104095500,17.98779076,18.00721602,17.92951498,17.93922761,78900.0,1458915.0
20210104100000,17.93922761,18.03635391,17.92951498,18.01692865,45300.0,838533.0
20210104100500,18.01692865,18.04606654,18.00721602,18.00721602,27500.0,510494.0
20210104101000,18.00721602,18.00721602,17.94894024,17.98779076,37400.0,692369.0
20210104101500,17.98779076,17.98779076,17.95865287,17.9683655,30623.0,566718.0
20210104102000,17.9683655,17.98779076,17.93922761,17.93922761,59977.0,1109369.0
20210104102500,17.93922761,17.98779076,17.92951498,17.97807813,28400.0,525678.0
20210104103000,17.98779076,18.05577917,17.97807813,17.98779076,54900.0,1016880.0
20210104103500,17.99750339,18.01692865,17.97807813,17.98779076,35300.0,653934.0
20210104104000,18.00721602,18.05577917,17.99750339,18.05577917,73600.0,1365222.0
20210104104500,18.05577917,18.19175599,18.05577917,18.19175599,105200.0,1965108.0
20210104105000,18.20146862,18.27916966,18.20146862,18.23060651,264200.0,4959881.0
20210104105500,18.23060651,18.24031914,18.20146862,18.23060651,37800.0,709237.0
20210104110000,18.24031914,18.2597444,18.20146862,18.22089388,57200.0,1074005.0
20210104110500,18.22089388,18.25003177,18.20146862,18.20146862,44700.0,838574.0
20210104111000,18.20146862,18.21118125,18.19175599,18.21118125,13700.0,256812.0
20210104111500,18.21118125,18.23060651,18.20146862,18.21118125,34600.0,648976.0
20210104112000,18.21118125,18.23060651,18.21118125,18.22089388,73500.0,1379165.0
20210104112500,18.24031914,18.30830755,18.24031914,18.26945703,54600.0,1026785.0
20210104113000,18.26945703,18.29859492,18.24031914,18.26945703,21700.0,408270.0
20210104130500,18.26945703,18.30830755,18.26945703,18.30830755,36000.0,677622.0
20210104131000,18.29859492,18.31802018,18.27916966,18.27916966,95700.0,1803629.0
20210104131500,18.27916966,18.28888229,18.22089388,18.23060651,64100.0,1204618.0
20210104132000,18.23060651,18.2597444,18.21118125,18.22089388,23200.0,435572.0
20210104132500,18.22089388,18.25003177,18.21118125,18.24031914,20200.0,379039.0
20210104133000,18.24031914,18.25003177,18.19175599,18.20146862,31200.0,585276.0
20210104133500,18.20146862,18.21118125,18.14319284,18.1626181,38100.0,712972.0
20210104134000,18.18204336,18.21118125,18.15290547,18.17233073,18100.0,338609.0
20210104134500,18.17233073,18.21118125,18.14319284,18.18204336,25900.0,484398.0
20210104135000,18.1626181,18.18204336,18.14319284,18.14319284,19100.0,357108.0
20210104135500,18.14319284,18.22089388,18.14319284,18.22089388,28500.0,533885.0
20210104140000,18.22089388,18.22089388,18.14319284,18.17233073,65800.0,1231065.0
20210104140500,18.17233073,18.20146862,18.11405495,18.15290547,93800.0,1753764.0
20210104141000,18.15290547,18.21118125,18.12376758,18.21118125,37100.0,694654.0
20210104141500,18.21118125,18.23060651,18.1626181,18.19175599,27000.0,505454.0
20210104142000,18.19175599,18.20146862,18.1626181,18.20146862,17400.0,325696.0
20210104142500,18.20146862,18.21118125,18.18204336,18.20146862,11600.0,217373.0
20210104143000,18.20146862,18.21118125,18.18204336,18.18204336,25900.0,485190.0
20210104143500,18.19175599,18.23060651,18.17233073,18.19175599,21700.0,406513.0
20210104144000,18.19175599,18.21118125,18.17233073,18.19175599,22000.0,412120.0
20210104144500,18.19175599,18.21118125,18.17233073,18.18204336,26500.0,496221.0
20210104145000,18.18204336,18.19175599,18.17233073,18.18204336,43100.0,806854.0
20210104145500,18.17233073,18.18204336,18.1626181,18.17233073,63400.0,1186056.0
20210104150000,18.17233073,18.18204336,18.1626181,18.18204336,76268.0,1427516.0
20210105093500,18.18204336,18.28888229,18.14319284,18.24031914,115700.0,2172321.0
20210105094000,18.26945703,18.41514648,18.26945703,18.3568707,95200.0,1798593.0
20210105094500,18.31802018,18.3568707,18.29859492,18.34715807,61200.0,1154049.0
20210105095000,18.30830755,18.30830755,18.14319284,18.1626181,115200.0,2161186.0
20210105095500,18.1626181,18.3568707,18.1626181,18.34715807,61700.0,1159882.0
20210105100000,18.34715807,18.3568707,18.29859492,18.29859492,30700.0,579148.0
20210105100500,18.29859492,18.30830755,18.22089388,18.28888229,26500.0,498809.0
20210105101000,18.28888229,18.31802018,18.26945703,18.31802018,23500.0,442598.0
20210105101500,18.31802018,18.31802018,18.26945703,18.26945703,26600.0,501282.0
20210105102000,18.28888229,18.28888229,18.2597444,18.26945703,37100.0,698299.0
20210105102500,18.26945703,18.26945703,18.20146862,18.21118125,71100.0,1334868.0
20210105103000,18.20146862,18.20146862,18.14319284,18.18204336,43700.0,817478.0
20210105103500,18.18204336,18.21118125,18.18204336,18.18204336,31400.0,588199.0
20210105104000,18.17233073,18.20146862,18.17233073,18.17233073,37000.0,692423.0
20210105104500,18.17233073,18.21118125,18.1626181,18.19175599,18500.0,346483.0
20210105105000,18.19175599,18.23060651,18.18204336,18.20146862,27400.0,513693.0
20210105105500,18.18204336,18.19175599,18.11405495,18.11405495,106000.0,1981599.0
20210105110000,18.11405495,18.11405495,18.0654918,18.07520443,36000.0,670582.0
20210105110500,18.08491706,18.09462969,18.0654918,18.07520443,34996.0,651350.0
20210105111000,18.07520443,18.07520443,18.04606654,18.0654918,25904.0,481754.0
20210105111500,18.0654918,18.0654918,17.99750339,18.01692865,28600.0,530755.0
20210105112000,18.01692865,18.01692865,17.99750339,17.99750339,12900.0,239161.0
20210105112500,17.98779076,18.03635391,17.95865287,18.03635391,31600.0,585722.0
20210105113000,18.03635391,18.07520443,18.03635391,18.05577917,15300.0,284374.0
20210105130500,18.0654918,18.0654918,18.03635391,18.05577917,15800.0,293682.0
20210105131000,18.05577917,18.12376758,18.05577917,18.11405495,9496.0,176865.0
20210105131500,18.09462969,18.11405495,18.08491706,18.08491706,5500.0,102432.0
20210105132000,18.10434232,18.10434232,18.07520443,18.07520443,20500.0,381642.0
20210105132500,18.07520443,18.12376758,18.07520443,18.08491706,8000.0,149029.0
20210105133000,18.08491706,18.08491706,18.0654918,18.0654918,11600.0,215903.0
20210105133500,18.0654918,18.0654918,17.98779076,18.03635391,43000.0,798255.0
20210105134000,18.03635391,18.08491706,18.03635391,18.08491706,33800.0,628236.0
20210105134500,18.08491706,18.08491706,18.04606654,18.04606654,25600.0,475966.0
20210105135000,18.04606654,18.04606654,18.01692865,18.01692865,43900.0,814795.0
20210105135500,18.01692865,18.09462969,18.01692865,18.04606654,15000.0,278941.0
20210105140000,18.04606654,18.0654918,18.04606654,18.04606654,11900.0,221236.0
20210105140500,18.04606654,18.10434232,18.02664128,18.10434232,46600.0,866382.0
20210105141000,18.10434232,18.10434232,18.05577917,18.0654918,9100.0,169380.0
20210105141500,18.05577917,18.07520443,18.04606654,18.04606654,32900.0,611761.0
20210105142000,18.05577917,18.0654918,18.04606654,18.0654918,24100.0,448107.0
20210105142500,18.05577917,18.08491706,18.04606654,18.07520443,63500.0,1180874.0
20210105143000,18.07520443,18.08491706,18.07520443,18.08491706,10000.0,186145.0
20210105143500,18.08491706,18.09462969,18.0654918,18.07520443,50800.0,945548.0
20210105144000,18.07520443,18.11405495,18.0654918,18.10434232,20900.0,389263.0
20210105144500,18.10434232,18.18204336,18.10434232,18.15290547,58100.0,1085997.0
20210105145000,18.15290547,18.15290547,18.11405495,18.12376758,48600.0,907260.0
20210105145500,18.12376758,18.18204336,18.11405495,18.17233073,82100.0,1534597.0
20210105150000,18.17233073,18.20146862,18.17233073,18.18204336,101900.0,1907534.0
20210106093500,18.19175599,18.21118125,18.02664128,18.02664128,119277.0,2224736.0
20210106094000,18.01692865,18.03635391,17.7741129,17.7741129,244300.0,4493498.0
20210106094500,17.7741129,17.86152657,17.70612449,17.79353816,126000.0,2308780.0
20210106095000,17.78382553,17.78382553,17.68669923,17.73526238,122600.0,2239242.0
20210106095500,17.74497501,17.75468764,17.70612449,17.71583712,109100.0,1990906.0
20210106100000,17.71583712,17.71583712,17.51187189,17.52158452,220300.0,3991040.0
20210106100500,17.52158452,17.59928556,17.51187189,17.5798603,72100.0,1304373.0
20210106101000,17.5798603,17.59928556,17.40503296,17.43417085,172700.0,3111771.0
20210106101500,17.43417085,17.56043504,17.41474559,17.54100978,110989.0,1999161.0
20210106102000,17.56043504,17.5798603,17.51187189,17.5798603,53100.0,958455.0
20210106102500,17.55072241,17.56043504,17.46330874,17.482734,78711.0,1417692.0
20210106103000,17.482734,17.53129715,17.482734,17.53129715,58089.0,1046513.0
20210106103500,17.50215926,17.52158452,17.47302137,17.49244663,80600.0,1451166.0
20210106104000,17.49244663,17.49244663,17.41474559,17.42445822,104400.0,1875667.0
20210106104500,17.41474559,17.45359611,17.41474559,17.42445822,53300.0,957015.0
20210106105000,17.42445822,17.43417085,17.32733192,17.34675718,128700.0,2304234.0
20210106105500,17.34675718,17.3856077,17.31761929,17.33704455,50700.0,906323.0
20210106110000,17.33704455,17.33704455,17.17192984,17.23991825,178600.0,3169663.0
20210106110500,17.23991825,17.35646981,17.23991825,17.35646981,60700.0,1080855.0
20210106111000,17.35646981,17.36618244,17.31761929,17.35646981,21000.0,375137.0
20210106111500,17.36618244,17.41474559,17.33704455,17.37589507,30000.0,536888.0
20210106112000,17.37589507,17.37589507,17.2884814,17.2884814,27500.0,490457.0
20210106112500,17.31761929,17.37589507,17.24963088,17.35646981,45800.0,816680.0
20210106113000,17.35646981,17.35646981,17.23991825,17.23991825,49300.0,878335.0
20210106130500,17.27876877,17.34675718,17.23991825,17.31761929,87100.0,1552801.0
20210106131000,17.29819403,17.31761929,17.24963088,17.30790666,25000.0,444881.0
20210106131500,17.30790666,17.33704455,17.2884814,17.2884814,42200.0,751899.0
20210106132000,17.27876877,17.27876877,17.22049299,17.23020562,50800.0,902172.0
20210106132500,17.23020562,17.23020562,17.20106773,17.22049299,39100.0,692920.0
20210106133000,17.23020562,17.2884814,17.22049299,17.22049299,39800.0,706847.0
20210106133500,17.22049299,17.22049299,17.16221721,17.16221721,142500.0,2520652.0
20210106134000,17.16221721,17.17192984,17.08451617,17.17192984,150615.0,2653562.0
20210106134500,17.16221721,17.17192984,17.13307932,17.14279195,79300.0,1400273.0
20210106135000,17.14279195,17.18164247,17.10394143,17.17192984,126600.0,2234648.0
20210106135500,17.1913551,17.1913551,17.14279195,17.17192984,42200.0,745768.0
20210106140000,17.17192984,17.1913551,17.16221721,17.16221721,58700.0,1037588.0
20210106140500,17.17192984,17.18164247,17.15250458,17.16221721,45400.0,802254.0
20210106141000,17.16221721,17.1913551,17.15250458,17.18164247,38300.0,676953.0
20210106141500,17.18164247,17.18164247,17.10394143,17.13307932,53400.0,942528.0
20210106142000,17.13307932,17.17192984,17.11365406,17.13307932,67400.0,1189007.0
20210106142500,17.13307932,17.20106773,17.13307932,17.1913551,56800.0,1004762.0
20210106143000,17.1913551,17.21078036,17.18164247,17.21078036,29200.0,516951.0
20210106143500,17.21078036,17.23991825,17.18164247,17.23020562,40000.0,708563.0
20210106144000,17.21078036,17.22049299,17.17192984,17.17192984,51700.0,915826.0
20210106144500,17.17192984,17.20106773,17.0942288,17.0942288,150200.0,2647422.0
20210106145000,17.0942288,17.16221721,17.0942288,17.16221721,84800.0,1494420.0
20210106145500,17.16221721,17.1913551,17.14279195,17.14279195,113900.0,2012944.0
20210106150000,17.14279195,17.16221721,17.0942288,17.11365406,131000.0,2308741.0
20210107093500,17.12336669,17.33704455,16.88055094,16.88055094,199400.0,3502989.0
20210107094000,16.8999762,16.8999762,16.68629834,16.85141305,263500.0,4561410.0
20210107094500,16.84170042,16.89026357,16.73486149,16.73486149,104600.0,1810530.0
20210107095000,16.73486149,16.8028499,16.61830993,16.68629834,226000.0,3887646.0
20210107095500,16.68629834,16.8028499,16.64744782,16.72514886,194600.0,3347171.0
20210107100000,16.72514886,16.78342464,16.64744782,16.77371201,79100.0,1359939.0
20210107100500,16.78342464,16.8028499,16.61830993,16.63773519,93300.0,1604036.0
20210107101000,16.64744782,16.64744782,16.53089626,16.55032152,137500.0,2348672.0
20210107101500,16.55032152,16.6085973,16.49204574,16.49204574,160300.0,2729079.0
20210107102000,16.47262048,16.56003415,16.4143447,16.56003415,115400.0,1956002.0
20210107102500,16.55032152,16.56974678,16.42405733,16.48233311,77700.0,1320218.0
20210107103000,16.48233311,16.511471,16.34635629,16.43376996,137800.0,2327780.0
20210107103500,16.42405733,16.53089626,16.39491944,16.49204574,93800.0,1590326.0
20210107104000,16.49204574,16.6085973,16.49204574,16.6085973,95400.0,1626670.0
20210107104500,16.61830993,16.62802256,16.55032152,16.58917204,72600.0,1240094.0
20210107105000,16.58917204,16.6085973,16.54060889,16.58917204,19500.0,332713.0
20210107105500,16.58917204,16.6085973,16.56974678,16.6085973,29400.0,502100.0
20210107110000,16.6085973,16.65716045,16.56974678,16.59888467,49600.0,847845.0
20210107110500,16.59888467,16.59888467,16.52118363,16.53089626,43100.0,734243.0
20210107111000,16.53089626,16.57945941,16.46290785,16.48233311,53300.0,905822.0
20210107111500,16.48233311,16.48233311,16.42405733,16.44348259,102400.0,1733241.0
20210107112000,16.44348259,16.511471,16.43376996,16.50175837,20100.0,340848.0
